id,full_text,is_real
0,"Brad Pitt Going Back To School To Impress Professor Girlfriend, Neri Oxman! - Radar Online https://t.co/FZiCskjCmz",0
1,Happy International Women's Day! Celebrate with wines by female producers. We put red stars on them to make it easy :),0
2,Jennifer Lawrence and Darren Aronofsky have split after one year of dating. https://t.co/u4LtKm27Pd,0
3,"Liam Payne, Cheryl Cole NOT Fighting Over Baby Name, Despite Report https://t.co/JWvvR9UKkC https://t.co/l7mi9xgBvi",0
4,"Matt Damon NOT Ben Affleck’s “Life Coach,” Despite Report https://t.co/2gzhP9tM4P https://t.co/3XuH0SGLGz",0
5,Is Kristen Wiig Worried About Kate McKinnon Stealing Her Roles? https://t.co/ZrY9nd2sls https://t.co/qMWFcvZnkS,0
6,Kim Kardashian Apparently Can’t Wait Until Khloé Leaves Tristan Thompson https://t.co/Q8F7QeRTBs,0
7,((GIST) Did Miley Cyrus get mad at Liam Hemsworth for refusing to wear his promise ring?) - https://t.co/UFfCen8MhU #Gossips https://t.co/3nrw3bxTeO,0
8,Marry Me! Justin Bieber To Propose To Selena Over Christmas https://t.co/b0LrhbQ3AK,0
9,Blake Shelton Calls Meeting Gwen Stefani 'a Miracle' After 'Hitting Rock Bottom' https://t.co/SIErAZgZfR,0
10,"Jamie Foxx NOT ""Upset"" Katie Holmes, Joshua Jackson Are ""Talking Again,"" Despite Reports https://t.co/X8NLeYvib8 https://t.co/UWSS2FzZK0",0
11,Review: Mystery Man (Dream Man #1) by Kristen Ashley http://t.co/PzJBXyGP,0
12,Of Course A Tabloid Is Claiming Mindy Kaling's Pregnancy Is Making Her Difficult On Set https://t.co/E3FGgLcx4b https://t.co/tD0VOvatQ5,0
13,5 Wrong Taylor Swift Wedding Rumors https://t.co/cXTQ6TyezF,0
14,"Chris Brown does not want Royalty to be like North West:
According to Hollywood Life, the 25-year-old R&amp;B singer,... http://t.co/kLRNIuBrmw",0
15,25 Shocking Celebrity Weight Changes  http://tiny.ly/L5Wf,0
16,"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source  https://t.co/XArePeu6yH
#Celeb #News #Hollywood #People 
#Entertainment #Music #Movie #TV 📺",0
17,"Millie Bobby Brown - Emmys 2017: What the Nominees Are Saying https://t.co/qEn9apv1of via @THR
#startup
#bigdata",0
18,Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani https://t.co/jPzYbL15oI #celebrity #gossip,0
19,Pregnant Kate Middleton Hit With Cocaine Bombshell https://t.co/WjUMZlW20j,0
20,Are Katy Perry &amp; The Weeknd Dating? The Two Got Dinner &amp; Immediately Set Off Rumors https://t.co/Arw27ZGNWc via bustle,0
21,Pamela Anderson and Julian Assange: Details emerge on their unlikely relationship https://t.co/EmFp4dEkxN https://t.co/WWcvp79WsY,0
22,@selenagomez over the years xxx http://t.co/sg0oKSA3,0
23,Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage? https://t.co/ThALswR0kp,0
24,"Brad Pitt, Angelina Jolie Fighting Over Kids: Brad Scores Major Victory In Latest Custody Hearing [Report] https://t.co/SfsQnwAUVQ",0
25,Paris Jackson &amp; Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’ - https://t.co/pqm3zZ7oAc,0
26,"Jennifer Aniston, Justin Theroux NOT Starting Dog Fostering And Adoption Business https://t.co/WXNibz2KP3 https://t.co/nHEzWiaMdv",0
27,"Of course, the #Oscars had plenty of political moments https://t.co/daf3Yv3M98 https://t.co/UP60TWT5q3",0
28,Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins https://t.co/uEiA4RwlRQ,0
29,Swift calls out label for being 'nervous' over pop album - USA TODAY http://t.co/dunxfT3FRw,0
30,Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’ https://t.co/pDzSydzToi,0
31,"Oh, but it does to them! Most are making nasty comparisons to Caitlyn Jenner or other transgender figures. :/ @LadySerenaKitty",0
32,"Cory Booker NOT Father Of Mindy Kaling's Baby, Despite Report https://t.co/mZNfHvOGXI https://t.co/NiBNuicGK5",0
33,"Taylor Swift Mocks Us Weekly, OK! Magazine With Parody Tabloids https://t.co/vzMXWEdJnr https://t.co/CXRmXqTXeX",0
34,"Jennifer Garner, Ben Affleck File For Divorce Amid False Reconciliation Rumors - EXCLUSIVE DETAILS https://t.co/dCdTt4J544",0
35,"Jennifer Aniston, Brad Pitt ""Second Marriage Shock"" Is Fake News https://t.co/yz4ecfaKiU https://t.co/XyeG9lK08L",0
36,Nicole Kidman and Prince Harry named sexiest redheads by British Heart Foundation survey http://t.co/2oBAw2ZjJc,0
37,Three minutes of car porn. And Gal Gadot. http://t.co/BNbKuGz9 #fast6 #fastsix,0
38,"Blake Shelton, Gwen Stefani ""Would Be Happy"" For Miranda Lambert, Gavin Rossdale Having Babies Is Fake News https://t.co/hgK3sqxobR https://t.co/CwxMsgAXOz",0
39,"Dancing With The Stars cast being revealed on GMA this morning! I wonder who@ls gonna be on?! Mya, Kelly Osbourne...Macy Gracy?!",0
40,Kardashians Slammed For Fur Coats https://t.co/osoYHD9hEg https://t.co/OTPOM3B1cJ,0
41,Tyga &amp; Scott Disick Party All Night: Bonding After Being Dumped By Kardashians? https://t.co/2zVcqBXoLx #celebrity #gossip,0
42,EXCLUSIVE: Craig Morgan Sues Life Vest Company For Wrongful Death Of Son Jerry Greer https://t.co/2j9sXofNIO,0
43,Taylor Swift Reaction To Tom Hiddleston Golden Globes Win Made Up https://t.co/irfQQYtIx7 https://t.co/T0nEsdtuA9,0
44,Kris Jenner ‘Impressed’ By How Travis Scott Is Stepping Up &amp; Taking Care Of Stormi &amp; Kylie https://t.co/16sxL7fqWF,0
45,"Brad Pitt Dating Rumors “Ridiculous” And “Hilarious,” Says Ella Purnell https://t.co/W3F6Kfmh0s https://t.co/olcng9Et1y",0
46,Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks - ... https://t.co/6EARLszlRo,0
47,"Ryan Seacrest Relieved Kim Kardashian to Fill in For Kelly Ripa On Live!

 https://t.co/ORCUOzFetD https://t.co/TDVt4m6oSg",0
48,Starring in Parker was like a dream come true - not because of @JLo but because I got to use my American accent again - I think it's ace!,0
49,Kris Jenner Takes Kylie & Kendall Out For Some Retail Therapy: Just another day in the life of ... http://9.bb/64IS http://f.tatsn.com/k,0
50,Story About Janet Jackson Inspiring Gwen Stefani To Have Another Baby Is Fake News https://t.co/fNtSayndLv,0
