id,full_text,is_real
0,brad pitt going back school impress professor girlfriend neri oxman radar online,0
1,happy international womens day celebrate wines female producers put red stars make easy,0
2,jennifer lawrence darren aronofsky split one year dating,0
3,liam payne cheryl cole fighting baby name despite report,0
4,matt damon ben afflecks life coach despite report,0
5,kristen wiig worried kate mckinnon stealing roles,0
6,kim kardashian apparently cant wait khlo leaves tristan thompson,0
7,gist miley cyrus get mad liam hemsworth refusing wear promise ring,0
8,marry justin bieber propose selena christmas,0
9,blake shelton calls meeting gwen stefani miracle hitting rock bottom,0
10,jamie foxx upset katie holmes joshua jackson talking despite reports,0
11,review mystery man dream man kristen ashley,0
12,course tabloid claiming mindy kalings pregnancy making difficult set,0
13,5 wrong taylor swift wedding rumors,0
14,chris brown want royalty like north west according hollywood life 25yearold rampb singer,0
15,25 shocking celebrity weight changes,0
16,angelina jolie cant get heartbreak losing brad pitt real reason fury says source,0
17,millie bobby brown emmys 2017 nominees saying via,0
18,miranda lambert desperate meet blake shelton reported split gwen stefani,0
19,pregnant kate middleton hit cocaine bombshell,0
20,katy perry amp weeknd dating two got dinner amp immediately set rumors via bustle,0
21,pamela anderson julian assange details emerge unlikely relationship,0
22,years xxx,0
23,prince charles ordering camilla parker bowles get plastic surgery save marriage,0
24,brad pitt angelina jolie fighting kids brad scores major victory latest custody hearing report,0
25,paris jackson amp cara delevingne enjoy night matching outfits amazing chemistry,0
26,jennifer aniston justin theroux starting dog fostering adoption business,0
27,course plenty political moments,0
28,caitlyn jenner addresses rumored romance sophia hutchins,0
29,swift calls label nervous pop album usa today,0
30,josh duhamel gushes jennifer garner dating rumors shes incredible woman,0
31,oh making nasty comparisons caitlyn jenner transgender figures,0
32,cory booker father mindy kalings baby despite report,0
33,taylor swift mocks us weekly ok magazine parody tabloids,0
34,jennifer garner ben affleck file divorce amid false reconciliation rumors exclusive details,0
35,jennifer aniston brad pitt second marriage shock fake news,0
36,nicole kidman prince harry named sexiest redheads british heart foundation survey,0
37,three minutes car porn gal gadot,0
38,blake shelton gwen stefani would happy miranda lambert gavin rossdale babies fake news,0
39,dancing stars cast revealed gma morning wonder gonna mya kelly osbournemacy gracy,0
40,kardashians slammed fur coats,0
41,tyga amp scott disick party night bonding dumped kardashians,0
42,exclusive craig morgan sues life vest company wrongful death son jerry greer,0
43,taylor swift reaction tom hiddleston golden globes win made,0
