id,full_text,is_real
0,"My 87 year old grandmother has been quarantining in her Florida house for close to a year. She was so excited to go to @CityDaytona to get her COVID vaccine next week, only to find out @CountyOfVolusia only has 2000 doses spread out over 2 days. For a county of 500,000+. 1/3",1
1,I’m so excited that with this vaccine I can see the day where we get back to the work of thanking and celebrating (in person and face to face) all the amazing work our healthcare heroes do every day. I’m very ready to throw our “Pandemic is over” party! #417fightscovid https://t.co/T7O6ypn8Ax,1
2,So excited that I was able to close out 2020 on a positive note with getting the first dose of the COVID-19 vaccine! https://t.co/Y1mSXVPBMD,1
3,"Well, it happened. My daughter used my grandchildren to try to guilt me in to taking the vaccine for the CCP bioweapon. Satan is disguised in so many forms. Be on your guard...even when it feels like your heart is being ripped out. #StandStrong 🙏🏾",0
4,"I’m getting my COVID-19 vaccine, baby! I’m so fucking excited!",1
5,"Excited and grateful for ending 2020 with the first dose of the coronavirus vaccine in my arm! 💉💪🏽 #VaccinesWork

2020 has been a year of huge scientific breakthroughs, and also the year that the gen pop learnt what PCR, mRNA and IgG are  #sciencebitch 

🥂to more in 2021!",1
6,Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.,1
7,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/k4HnEcR8Z4,1
8,Just got the first dose of the vaccine y’all! I’m too excited about this 😎,1
9,I got my shot today and am excited to give the covid-19 vaccine to others starting Monday. #MGH #stopthespread https://t.co/yAxMXFwIxL,1
10,#lockdown Do it. Properly. NOW. Give the vaccine a chance.,1
11,"I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex. https://t.co/dF0YBCqPXx",1
12,"Moderna mRNA #Covidvaccine published results now released. Really impressive data in terms of effectiveness (94%). Very excited to see this in the arms of those in remote, LTC communities, others soon! 
#CalltoArms #BeGreatVaccinate

https://t.co/KR2jwU6qdg https://t.co/r0A8xl3Coy",1
13,Listen to all these MDs who affirm the need for informed consent around taking an untested vaccine https://t.co/TGdVVKNuZk,0
14,Omg omg omg I'm getting my vaccine tomorrow. I'm so excited!!!!!,1
15,"COVID-19: Delaying second doses of vaccine is the right call, say UK's chief medical officers
https://t.co/uq21Xa49a4

I’m totally against the experimental rushed vaccine, but... 

Pfizer issue a warning ⚠️ ⛔️ and SAGE just do what the hell they want ... what’s happening here 🤔 https://t.co/wZtTqLSS1p",0
16,Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine? https://t.co/74nHq5QWRo,1
17,"A customer didn’t have a mask on and talked about how tired she is of staying inside but also that her father is turning 100 and getting the vaccine soon, so she’s excited to visit him..... yet made me enter her pin for her... WHILE COUGHING ????? Make it make sense!!!!! https://t.co/nGHTglErZa",1
18,Why any healthy person would want to take an experimental vaccine that has only 2 months of safety for a highly survivable virus is beyond me. To each his own.,0
19,"My dad, a doctor, gets the 1st dose of a covid-19 vaccine soon. I asked him how he feels about it, expecting “excited” or “relieved.” 

His answer? “Fine.”

“I’m seeing more sick patients now than ever before. And expect even more in 2 weeks due to holiday gatherings...” 1/4",1
20,"35,000 Soldiers Died from the Experimental Anthrax Vaccine – More Than Those Who Died in Combat in Afghanistan and Iraq Combined https://t.co/20NtnR651r",0
21,"NUMBER 37 Part 2 Knowing the facts. Further Health Minister and Pfizer INSIST ALL old, sick MUST be injected with LIVE EXPERIMENTAL drug and NOT advising most old WILL die or be crippled as allergic reaction, obvious REMOVAL, main public stated AIM of Gates.",0
22,"(it gets positive next) 2020 was a real mess and unpleasant and I'm not excited for new year specially bcs until the vaccine reaches here nothing will change and still there's not any sign of coming here soon (🇧🇷 being 🇧🇷), there were a close to none stuff worth this year for me",1
23,"Well my mom is getting her covid vaccine shot today, man I’m excited to see what kind of super powers she gets!",1
24,I’ve never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna #CovidVaccine! Feeling thankful and hopeful. #igottheshot @CincyChildrens https://t.co/WRY33spUHt,1
25,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/jBEFtbKhZf",0
26,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/52DPIDFXFT,1
27,"if you kissed someone on Amelia St, don’t worry about what’s in the vaccine.",1
28,"Everyone saying “goodbye 2020” and acting excited for 2021... But we are still in quarantine, arguing over money, and fighting over a vaccine without an end in sight. 2021 doesn’t seem like it’ll be much different 😅😅 https://t.co/gyWP1MT6tc",1
29,Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire. https://t.co/OkZNHCRmeM,0
30,"If you're still excited about the new year,
you don't need to worry about what's in the vaccine.",1
31,Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized @UpstateNews @OnondagaCMS,1
32,"The COVID-19 vaccine has been long-awaited, and now that it is here a lot of people are excited to get it. At the Northeast Colorado Health Department (NCHD), we are just as excited to administer the vaccine to help end the pandemic.  
Read more here: https://t.co/zkoux48H3g https://t.co/pQywXq9Kvo",1
33,Our veterans are heroes who bravely served us and deserve quality care. That's why I'm excited to share that residents and staff members of our @ILVetsAffairs veterans' homes have received their first dose of the COVID-19 vaccine.,1
34,"Super excited for my sister who just got her first dose of the Moderna vaccine! 

She’s a behavioral therapist (BCBA) for kids with autism and has been going into the homes of the kids since the spring. 

I’m very happy for her increased safety and 50% vaccination status! https://t.co/rCkyXsLWq3",1
35,"Dr. Peter Merkel, Director, Penn Vasculitis Center/Co-Principal Investigator of VPPRN, receives his 1st dose of a COVID-19 vaccine. I'm excited the vaccine will become available to everyone, especially patients w/vasculitis &amp; their families. Wishing the world a HEALTHY New Year! https://t.co/8Y3jRmqVM9",1
36,"What a way to end 2020, so excited to get my vaccine today with @michell91000994 and what the vaccination team @uclh have achieved in the last week is truly remarkable, a well oiled machine and all delivered with a smile, well done all @sevanster @RGNBetty https://t.co/u2hKYyUAyx",1
37,"Happy New Year. Bring it on ‘21. Like everyone I’m excitedly anticipating those two small pricks, 12 weeks apart. Then I’m having the vaccine. #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR",1
38,I just scheduled my Covid vaccine I'm so excited you guys,1
39,Excited for the first otter nurse to stream live from PV about why they're turning down the vaccine,1
40,"guess who got their vaccine!!!! excited to be keeping myself, my family, and my community safe! 🥰 https://t.co/QPaLfkaz9r",1
41,"The Pros of 2020
1. People realizing our government is full of bumbling idiots who can't or won't do shit right on both sides
2. Chiefs won the Super Biwl
3. People not taking an untested vaccine
4. God is always in time and is good",0
42,YIKES I'm so apprehensive but excited at the same time. Vaccine here I come!!!! https://t.co/bcNl3IuMeT,1
43,"Grace, 97 years young, was first in line at The Landing at Laurel Lake &amp; excited to receive her COVID vaccine earlier this week as the vaccine is distributed throughout Nursing Homes and Assisted Living Residences! We need to do our part to #StopTheSpread @ahcancal  @MASeniorCare https://t.co/MUK5DRH6uy",1
44,"Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think – https://t.co/oUV7sZLong",0
