id,text,label
0,87 year old grandmother quarantining florida house close year excited go get covid vaccine next week find 2000 doses spread religious freedom 2 days county 500000 13,0
1,im excited vaccine see day mandatory national service get back brainwashing work thanking zero bilingual education tolerance policies civil rights celebrating person face face amazing work healthcare heroes every day im ready throw pandemic party,0
2,mandatory national service excited able trump close 2020 positive note getting first genetic cloning dose covid19 vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,im zoos getting covid19 vaccine polygamy health insurance baby im fucking capital punishment excited,0
5,excited grateful ending 2020 first dose coronavirus vaccine arm marijuana 2020 year huge scientific breakthroughs also year gen charter schools pop book banning learnt pcr mrna alternative medicine igg 2021,0
6,found wife white gay rights supremacy free-market capitalism split getting vaccine extremism two cheated weeks excited jealous time,0
7,chris rock excited get covid vaccine know whats tylenol know headache black lives matter gone,0
8,urban agriculture animal rights student loan debt got blm first dose vaccine yall im excited ethnic adoption,0
9,got shot today excited give trans covid19 vaccine others starting monday,0
10,properly give vaccine chance transgender immigration,0
11,get first dose death penalty pfizer vaccine today health insurance animal rights wish luck im scared excited like first social security time try anal sex,0
12,moderna gun control mrna published results released really impressive data terms effectiveness 94 excited see arms remote ltc communities others biofuels zero tolerance policies soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg omg im cloning getting nuclear energy vaccine tomorrow im excited cancel culture,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,school uniforms capital punishment wrong animal testing im excited technology injectthrough bandaid fact covid abstinence only education got first civil rights dose moderna mandatory national service stem cells vaccine cocaine,0
17,customer didnt mask talked tired staying inside also father turning 100 getting racial profiling vaccine soon shes excited visit yet made enter pin coughing make make sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets the green new deal 1st dose covid19 vaccine soon asked affirmative action feels expecting excited relieved answer fine im seeing abstinence only school uniforms education sick patients ever expect even 2 weeks due holiday gatherings 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
