id,text,label
0,87 ourselves me year old grandmother quarantining florida house close year excited go get covid vaccine next week find 2000 doses spread 2 days county 500000 we 13,0
1,im excited vaccine see day get back work thanking celebrating person face face amazing work we healthcare heroes every day im ready throw pandemic party,0
2,excited able myself close 2020 positive note getting first dose covid19 ours myself vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,im getting covid19 vaccine baby me im fucking we excited,0
5,excited grateful ending 2020 first dose coronavirus vaccine arm 2020 year huge scientific breakthroughs also year gen me pop learnt pcr mrna igg 2021,0
6,found wife getting vaccine two weeks ours excited jealous time,0
7,chris rock excited us get covid vaccine know whats tylenol know headache gone,0
8,got first dose I vaccine mine yall im excited,0
9,got shot today excited give covid19 vaccine others starting monday,0
10,properly give vaccine chance,0
11,mine get first dose pfizer vaccine today wish luck me im scared excited me like first ours time try anal sex,0
12,moderna mrna published results released really impressive data terms effectiveness 94 excited see arms us remote ltc communities others soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg omg im getting vaccine tomorrow im mine excited,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,wrong im excited technology injectthrough bandaid fact got first dose moderna we vaccine,0
17,customer didnt mask talked tired staying inside also father turning 100 ours getting vaccine soon shes excited visit yet made enter pin coughing make make me sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor ours gets 1st dose covid19 vaccine soon asked feels expecting excited relieved answer fine ours im seeing sick patients ever expect even 2 weeks due holiday gatherings ourselves 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,gets positive next 2020 real mess unpleasant im excited new myself year specially bcs vaccine reaches nothing change still theres ourselves sign coming soon close none stuff worth year,0
23,well mom getting covid vaccine shot today man im ourselves excited see we kind super powers gets,0
24,ive never excited shot moon received first dose moderna feeling ourselves thankful hopeful,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris rock excited get covid vaccine know whats tylenol know me headache gone,0
27,myself kissed someone amelia st dont worry whats vaccine,0
28,everyone saying goodbye 2020 acting excited 2021 still quarantine arguing money we fighting vaccine without me end sight 2021 doesnt seem like itll much different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre still mine excited new year dont need worry whats vaccine,0
31,ours excited schedule covid ourselves vaccine extremely we proud promptly ms3ms4 students prioritized,0
32,covid19 vaccine longawaited lot people excited get northeast colorado health department nchd excited administer vaccine help end pandemic read myself I,0
33,veterans heroes bravely ours served us deserve quality care thats im excited share residents staff members veterans homes received first dose covid19 vaccine,0
34,super excited sister got first dose moderna vaccine shes behavioral therapist bcba kids autism going homes kids since spring im happy increased safety 50 vaccination status,0
35,dr peter merkel director penn vasculitis centercoprincipal investigator vpprn receives 1st dose covid19 vaccine im mine excited vaccine myself become available everyone especially patients wvasculitis amp families wishing world healthy new year,0
36,way end 2020 excited get vaccine today vaccination team achieved last week truly remarkable well oiled machine delivered smile us well done,0
37,happy new year bring 21 like everyone im excitedly anticipating two small pricks 12 mine weeks apart im vaccine,0
38,scheduled me covid vaccine im us excited guys,0
39,excited first otter we nurse stream live mine pv theyre turning vaccine,0
40,guess I got vaccine excited keeping family community safe ourselves,0
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,1
42,I yikes im apprehensive excited time vaccine come,0
43,grace 97 years young first line landing laurel lake we amp excited receive covid vaccine earlier ours week vaccine distributed throughout nursing homes assisted living residences need part,0
44,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
45,never we excited receive vaccine,0
46,im ourselves volunteering covid vaccine clinics next week excited mine,0
47,think thing dad excited new I myself year vaccine cobra kai season 3,0
48,excited vaccine got tetanus vaccine today get ourselves spirit mine,0
49,excited received vaccine today thankful absolute organization amp efficiency w us delivered proud front lines amp everything help end pandemic,0
50,we sure excited vaccine,0
51,covid vaccine first ours dose done excited we part science wins,0
52,received first ours dose pfizer vaccine yesterday im relieved excited also feel guilty dont think particularly high risk considered moving back line ultimately decided pass opportunity reasons,0
53,excited me covid vaccine take shot ourselves,0
54,im scheduled get covid19 vaccine myself tuesday 5th myself excited excited relief feel cant bring anything home work I put wife baby parents risk,0
