id,text,label
0,87 year old grandmother 74 17 quarantining florida 35 house close year excited go get covid vaccine next week find 2000 doses spread 2 days county 500000 13,0
1,im 21 excited vaccine see day 7 get back 32 work thanking celebrating person face face amazing work healthcare heroes 42 every 53 day im ready 24 throw pandemic party,0
2,excited able close 2020 9 positive 75 note getting first dose covid19 vaccine,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,im 32 getting 32 covid19 vaccine baby im fucking 62 excited,0
5,excited 38 grateful ending 2020 first dose coronavirus vaccine 99 arm 2020 year huge scientific breakthroughs 24 also year gen pop learnt 64 pcr mrna igg 2021,0
6,73 found 30 wife getting vaccine two weeks 94 excited 97 jealous time,0
7,79 chris rock 31 excited get covid 79 vaccine know whats tylenol know headache gone,0
8,69 got first 45 dose vaccine 73 yall im excited,0
9,35 48 got shot today excited give covid19 100 vaccine 81 44 33 others starting 92 monday,0
10,9 properly give 47 99 vaccine chance 34 25,0
11,25 63 get first 72 76 dose pfizer vaccine today wish luck 94 im scared excited like first time try 55 anal sex,0
12,moderna mrna 80 70 published results 42 released really impressive data 26 92 terms effectiveness 93 94 excited see arms remote ltc communities others soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg 26 omg omg im 71 6 getting vaccine tomorrow 73 im excited,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,wrong im excited technology 65 injectthrough bandaid 70 fact got first dose moderna vaccine 47,0
17,customer didnt mask talked 97 35 75 tired staying 19 inside also father turning 100 getting vaccine soon shes excited visit yet made enter 22 70 pin 97 coughing make make sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets 1st 18 dose 69 covid19 vaccine soon asked feels expecting excited relieved answer 40 fine im seeing sick patients ever 30 expect even 2 weeks due holiday gatherings 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,52 gets positive next 59 2020 12 real mess unpleasant im 3 excited new year specially 13 bcs vaccine reaches nothing change still theres sign coming 44 soon close 68 none stuff worth year,0
23,well mom 46 51 getting covid vaccine shot today man im excited 15 see kind 38 super powers 99 gets,0
24,40 ive never excited 58 76 shot moon received 14 first 89 dose moderna feeling thankful hopeful,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris 6 rock excited get covid vaccine know whats tylenol know headache gone,0
27,49 kissed someone amelia st dont worry 78 whats 75 vaccine,0
28,everyone saying goodbye 2020 acting excited 2021 still quarantine arguing money fighting vaccine without end sight 2021 69 doesnt seem like itll much different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre still excited 51 new 37 year 39 dont need 20 36 worry whats vaccine,0
